Element                 	Size of Isomorphism Class
0                        	1
                      bab	1
                     2bab	1
                     3bab	1
                 aba     	1
                 aba+ bab	103
                 aba+2bab	104
                2aba     	1
                3aba     	1
             ab          	1
             ab     + bab	5
             ab     +2bab	4
             ab+ aba     	5
             ab+2aba     	4
            2ab          	1
            3ab          	1
         ab              	1
         ab         + bab	5
         ab         +2bab	4
         ab    + aba     	5
         ab    +2aba     	4
        2ab              	1
        3ab              	1
      b                  	1
      b             + bab	2
      b             +2bab	1
      b        + aba     	114
      b        + aba+ bab	114
      b    + ab          	6
      b    + ab     + bab	6
      b+ ab              	6
      b+ ab         + bab	6
     2b                  	1
     2b             + bab	2
     2b             +2bab	1
     2b        + aba     	114
     2b        + aba+ bab	114
     2b    + ab          	6
     2b    + ab     + bab	6
     2b+ ab              	6
     2b+ ab         + bab	6
     3b                  	1
     3b             + bab	2
     3b             +2bab	1
     3b        + aba     	114
     3b        + aba+ bab	114
     3b    + ab          	6
     3b    + ab     + bab	6
     3b+ ab              	6
     3b+ ab         + bab	6
   a                     	1
   a                + bab	114
   a                +2bab	114
   a           + aba     	2
   a           +2aba     	1
   a       + ab          	6
   a       + ab+ aba     	6
   a   + ab              	6
   a   + ab    + aba     	6
   a+ b                  	128
   a+ b             + bab	128
   a+2b                  	128
   a+2b             + bab	128
   a+3b                  	128
   a+3b             + bab	128
  2a                     	1
  2a                + bab	114
  2a                +2bab	114
  2a           + aba     	2
  2a           +2aba     	1
  2a       + ab          	6
  2a       + ab+ aba     	6
  2a   + ab              	6
  2a   + ab    + aba     	6
  2a+ b                  	128
  2a+ b             + bab	128
  2a+2b                  	128
  2a+2b             + bab	128
  2a+3b                  	128
  2a+3b             + bab	128
  3a                     	1
  3a                + bab	114
  3a                +2bab	114
  3a           + aba     	2
  3a           +2aba     	1
  3a       + ab          	6
  3a       + ab+ aba     	6
  3a   + ab              	6
  3a   + ab    + aba     	6
  3a+ b                  	128
  3a+ b             + bab	128
  3a+2b                  	128
  3a+2b             + bab	128
  3a+3b                  	128
  3a+3b             + bab	128
1                        	1
1                   + bab	2
1                   +2bab	1
1              + aba     	2
1              + aba+ bab	103
1              + aba+2bab	104
1              +2aba     	1
1          + ab          	2
1          + ab     + bab	5
1          + ab     +2bab	4
1          + ab+ aba     	5
1          + ab+2aba     	4
1          +2ab          	1
1      + ab              	2
1      + ab         + bab	5
1      + ab         +2bab	4
1      + ab    + aba     	5
